ORGAN_CODE,TOP_CODE,TOP_ORGAN,FULL_ORGAN,LWST_ORGAN
5690000,5690000,Sejong,Sejong,Sejong
6110000,6110000,Seoul,Seoul,Seoul
6260000,6260000,Busan,Busan,Busan
6270000,6270000,Daegu,Daegu,Daegu
6280000,6280000,Incheon,Incheon,Incheon
6290000,6290000,Gwangju,Gwangju,Gwangju
6300000,6300000,Daejeon,Daejeon,Daejeon
6310000,6310000,Ulsan,Ulsan,Ulsan
6500000,6500000,Jeju-do,Jeju-do,Jeju-do
3000000,6110000,Seoul,Seoul Jongno-gu,Jongno-gu
3010000,6110000,Seoul,Seoul Jung-gu,Jung-gu
3020000,6110000,Seoul,Seoul Yongsan-gu,Yongsan-gu
3030000,6110000,Seoul,Seoul Seongdong-gu,Seongdong-gu
3040000,6110000,Seoul,Seoul Gwangjin-gu,Gwangjin-gu
3050000,6110000,Seoul,Seoul Dongdaemun-gu,Dongdaemun-gu
3060000,6110000,Seoul,Seoul Jungnang-gu,Jungnang-gu
3070000,6110000,Seoul,Seoul Seongbuk-gu,Seongbuk-gu
3080000,6110000,Seoul,Seoul Gangbuk-gu,Gangbuk-gu
3090000,6110000,Seoul,Seoul Dobong-gu,Dobong-gu
3100000,6110000,Seoul,Seoul Nowon-gu,Nowon-gu
3110000,6110000,Seoul,Seoul Eunpyeong-gu,Eunpyeong-gu
3120000,6110000,Seoul,Seoul Seodaemun-gu,Seodaemun-gu
3130000,6110000,Seoul,Seoul Mapo-gu,Mapo-gu
3140000,6110000,Seoul,Seoul Yangcheon-gu,Yangcheon-gu
3150000,6110000,Seoul,Seoul Gangseo-gu,Gangseo-gu
3160000,6110000,Seoul,Seoul Guro-gu,Guro-gu
3170000,6110000,Seoul,Seoul Geumcheon-gu,Geumcheon-gu
3180000,6110000,Seoul,Seoul Yeongdeungpo-gu,Yeongdeungpo-gu
3190000,6110000,Seoul,Seoul Dongjak-gu,Dongjak-gu
3200000,6110000,Seoul,Seoul Gwanak-gu,Gwanak-gu
3210000,6110000,Seoul,Seoul Seocho-gu,Seocho-gu
3220000,6110000,Seoul,Seoul Gangnam-gu,Gangnam-gu
3230000,6110000,Seoul,Seoul Songpa-gu,Songpa-gu
3240000,6110000,Seoul,Seoul Gangdong-gu,Gangdong-gu
3250000,6260000,Busan,Busan Jung-gu,Jung-gu
3260000,6260000,Busan,Busan Seo-gu,Seo-gu
3270000,6260000,Busan,Busan Dong-gu,Dong-gu
3280000,6260000,Busan,Busan Yeongdo-gu,Yeongdo-gu
3290000,6260000,Busan,Busan Busanjin-gu,Busanjin-gu
3300000,6260000,Busan,Busan Dongnae-gu,Dongnae-gu
3310000,6260000,Busan,Busan Nam-gu,Nam-gu
3320000,6260000,Busan,Busan Buk-gu,Buk-gu
3330000,6260000,Busan,Busan Haeundae-gu,Haeundae-gu
3340000,6260000,Busan,Busan Saha-gu,Saha-gu
3350000,6260000,Busan,Busan Geumjeong-gu,Geumjeong-gu
3360000,6260000,Busan,Busan Gangseo-gu,Gangseo-gu
3370000,6260000,Busan,Busan Yeonje-gu,Yeonje-gu
3380000,6260000,Busan,Busan Suyeong-gu,Suyeong-gu
3390000,6260000,Busan,Busan Sasang-gu,Sasang-gu
3400000,6260000,Busan,Busan Gijang-gun,Gijang-gun
3410000,6270000,Daegu,Daegu Jung-gu,Jung-gu
3420000,6270000,Daegu,Daegu Dong-gu,Dong-gu
3430000,6270000,Daegu,Daegu Seo-gu,Seo-gu
3440000,6270000,Daegu,Daegu Nam-gu,Nam-gu
3450000,6270000,Daegu,Daegu Buk-gu,Buk-gu
3460000,6270000,Daegu,Daegu Suseong-gu,Suseong-gu
3470000,6270000,Daegu,Daegu Dalseo-gu,Dalseo-gu
3480000,6270000,Daegu,Daegu Dalseong-gun,Dalseong-gun
3490000,6280000,Incheon,Incheon Jung-gu,Jung-gu
3500000,6280000,Incheon,Incheon Dong-gu,Dong-gu
3510500,6280000,Incheon,Incheon Michuhol-gu,Michuhol-gu
3520000,6280000,Incheon,Incheon Yeonsu-gu,Yeonsu-gu
3530000,6280000,Incheon,Incheon Namdong-gu,Namdong-gu
3540000,6280000,Incheon,Incheon Bupyeong-gu,Bupyeong-gu
3550000,6280000,Incheon,Incheon Gyeyang-gu,Gyeyang-gu
3560000,6280000,Incheon,Incheon Seo-gu,Seo-gu
3570000,6280000,Incheon,Incheon Ganghwa-gun,Ganghwa-gun
3580000,6280000,Incheon,Incheon Ongjin-gun,Ongjin-gun
3590000,6290000,Gwangju,Gwangju Dong-gu,Dong-gu
3600000,6290000,Gwangju,Gwangju Seo-gu,Seo-gu
3610000,6290000,Gwangju,Gwangju Nam-gu,Nam-gu
3620000,6290000,Gwangju,Gwangju Buk-gu,Buk-gu
3630000,6290000,Gwangju,Gwangju Gwangsan-gu,Gwangsan-gu
3640000,6300000,Daejeon,Daejeon Dong-gu,Dong-gu
3650000,6300000,Daejeon,Daejeon Jung-gu,Jung-gu
3660000,6300000,Daejeon,Daejeon Seo-gu,Seo-gu
3670000,6300000,Daejeon,Daejeon Yuseong-gu,Yuseong-gu
3680000,6300000,Daejeon,Daejeon Daedeok-gu,Daedeok-gu
3690000,6310000,Ulsan,Ulsan Jung-gu,Jung-gu
3700000,6310000,Ulsan,Ulsan Nam-gu,Nam-gu
3710000,6310000,Ulsan,Ulsan Dong-gu,Dong-gu
3720000,6310000,Ulsan,Ulsan Buk-gu,Buk-gu
3730000,6310000,Ulsan,Ulsan Ulju-gun,Ulju-gun
3740000,6410000,Gyeonggi-do,Gyeonggi-do Suwon-si,Suwon-si
3780000,6410000,Gyeonggi-do,Gyeonggi-do Seongnam-si,Seongnam-si
3820000,6410000,Gyeonggi-do,Gyeonggi-do Uijeongbu-si,Uijeongbu-si
3830000,6410000,Gyeonggi-do,Gyeonggi-do Anyang-si,Anyang-si
3860000,6410000,Gyeonggi-do,Gyeonggi-do Bucheon-si,Bucheon-si
3900000,6410000,Gyeonggi-do,Gyeonggi-do Gwangmyeong-si,Gwangmyeong-si
3910000,6410000,Gyeonggi-do,Gyeonggi-do Pyeongtaek-si,Pyeongtaek-si
3920000,6410000,Gyeonggi-do,Gyeonggi-do Dongducheon-si,Dongducheon-si
3930000,6410000,Gyeonggi-do,Gyeonggi-do Ansan-si,Ansan-si
3940000,6410000,Gyeonggi-do,Gyeonggi-do Goyang-si,Goyang-si
3970000,6410000,Gyeonggi-do,Gyeonggi-do Gwacheon-si,Gwacheon-si
3980000,6410000,Gyeonggi-do,Gyeonggi-do Guri-si,Guri-si
3990000,6410000,Gyeonggi-do,Gyeonggi-do Namyangju-si,Namyangju-si
4000000,6410000,Gyeonggi-do,Gyeonggi-do Osan-si,Osan-si
4010000,6410000,Gyeonggi-do,Gyeonggi-do Siheung-si,Siheung-si
4020000,6410000,Gyeonggi-do,Gyeonggi-do Gunpo-si,Gunpo-si
4030000,6410000,Gyeonggi-do,Gyeonggi-do Uiwang-si,Uiwang-si
4040000,6410000,Gyeonggi-do,Gyeonggi-do Hanam-si,Hanam-si
4050000,6410000,Gyeonggi-do,Gyeonggi-do Yongin-si,Yongin-si
4060000,6410000,Gyeonggi-do,Gyeonggi-do Paju-si,Paju-si
4070000,6410000,Gyeonggi-do,Gyeonggi-do Icheon-si,Icheon-si
4080000,6410000,Gyeonggi-do,Gyeonggi-do Anseong-si,Anseong-si
4090000,6410000,Gyeonggi-do,Gyeonggi-do Gimpo-si,Gimpo-si
4140000,6410000,Gyeonggi-do,Gyeonggi-do Yeoncheon-gun,Yeoncheon-gun
4160000,6410000,Gyeonggi-do,Gyeonggi-do Gapyeong-gun,Gapyeong-gun
4170000,6410000,Gyeonggi-do,Gyeonggi-do Yangpyeong-gun,Yangpyeong-gun
4180000,6420000,Gangwon-do,Gangwon-do Chuncheon-si,Chuncheon-si
4190000,6420000,Gangwon-do,Gangwon-do Wonju-si,Wonju-si
4200000,6420000,Gangwon-do,Gangwon-do Gangneung-si,Gangneung-si
4210000,6420000,Gangwon-do,Gangwon-do Donghae-si,Donghae-si
4220000,6420000,Gangwon-do,Gangwon-do Taebaek-si,Taebaek-si
4230000,6420000,Gangwon-do,Gangwon-do Sokcho-si,Sokcho-si
4240000,6420000,Gangwon-do,Gangwon-do Samcheok-si,Samcheok-si
4250000,6420000,Gangwon-do,Gangwon-do Hongcheon-gun,Hongcheon-gun
4260000,6420000,Gangwon-do,Gangwon-do Hoengseong-gun,Hoengseong-gun
4270000,6420000,Gangwon-do,Gangwon-do Yeongwol-gun,Yeongwol-gun
4280000,6420000,Gangwon-do,Gangwon-do Pyeongchang-gun,Pyeongchang-gun
4290000,6420000,Gangwon-do,Gangwon-do Jeongseon-gun,Jeongseon-gun
4300000,6420000,Gangwon-do,Gangwon-do Cheorwon-gun,Cheorwon-gun
4310000,6420000,Gangwon-do,Gangwon-do Hwacheon-gun,Hwacheon-gun
4320000,6420000,Gangwon-do,Gangwon-do Yanggu-gun,Yanggu-gun
4330000,6420000,Gangwon-do,Gangwon-do Inje-gun,Inje-gun
4340000,6420000,Gangwon-do,Gangwon-do Goseong-gun,Goseong-gun
4350000,6420000,Gangwon-do,Gangwon-do Yangyang-gun,Yangyang-gun
4390000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Chungju-si,Chungju-si
4400000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Jecheon-si,Jecheon-si
4420000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Boeun-gun,Boeun-gun
4430000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Okcheon-gun,Okcheon-gun
4440000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Yeongdong-gun,Yeongdong-gun
4450000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Jincheon-gun,Jincheon-gun
4460000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Goesan-gun,Goesan-gun
4470000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Eumseong-gun,Eumseong-gun
4480000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Danyang-gun,Danyang-gun
4490000,6440000,Chungcheongnam-do,Chungcheongnam-do Cheonan-si,Cheonan-si
4500000,6440000,Chungcheongnam-do,Chungcheongnam-do Gongju-si,Gongju-si
4510000,6440000,Chungcheongnam-do,Chungcheongnam-do Boryeong-si,Boryeong-si
4520000,6440000,Chungcheongnam-do,Chungcheongnam-do Asan-si,Asan-si
4530000,6440000,Chungcheongnam-do,Chungcheongnam-do Seosan-si,Seosan-si
4540000,6440000,Chungcheongnam-do,Chungcheongnam-do Nonsan-si,Nonsan-si
4550000,6440000,Chungcheongnam-do,Chungcheongnam-do Geumsan-gun,Geumsan-gun
4570000,6440000,Chungcheongnam-do,Chungcheongnam-do Buyeo-gun,Buyeo-gun
4580000,6440000,Chungcheongnam-do,Chungcheongnam-do Seocheon-gun,Seocheon-gun
4590000,6440000,Chungcheongnam-do,Chungcheongnam-do Cheongyang-gun,Cheongyang-gun
4600000,6440000,Chungcheongnam-do,Chungcheongnam-do Hongseong-gun,Hongseong-gun
4610000,6440000,Chungcheongnam-do,Chungcheongnam-do Yesan-gun,Yesan-gun
4620000,6440000,Chungcheongnam-do,Chungcheongnam-do Taean-gun,Taean-gun
4640000,6450000,Jeollabuk-do,Jeollabuk-do Jeonju-si,Jeonju-si
4670000,6450000,Jeollabuk-do,Jeollabuk-do Gunsan-si,Gunsan-si
4680000,6450000,Jeollabuk-do,Jeollabuk-do Iksan-si,Iksan-si
4690000,6450000,Jeollabuk-do,Jeollabuk-do Jeongeup-si,Jeongeup-si
4700000,6450000,Jeollabuk-do,Jeollabuk-do Namwon-si,Namwon-si
4710000,6450000,Jeollabuk-do,Jeollabuk-do Gimje-si,Gimje-si
4720000,6450000,Jeollabuk-do,Jeollabuk-do Wanju-gun,Wanju-gun
4730000,6450000,Jeollabuk-do,Jeollabuk-do Jinan-gun,Jinan-gun
4740000,6450000,Jeollabuk-do,Jeollabuk-do Muju-gun,Muju-gun
4750000,6450000,Jeollabuk-do,Jeollabuk-do Jangsu-gun,Jangsu-gun
4760000,6450000,Jeollabuk-do,Jeollabuk-do Imsil-gun,Imsil-gun
4770000,6450000,Jeollabuk-do,Jeollabuk-do Sunchang-gun,Sunchang-gun
4780000,6450000,Jeollabuk-do,Jeollabuk-do Gochang-gun,Gochang-gun
4790000,6450000,Jeollabuk-do,Jeollabuk-do Buan-gun,Buan-gun
4800000,6460000,Jeollanam-do,Jeollanam-do Mokpo-si,Mokpo-si
4810000,6460000,Jeollanam-do,Jeollanam-do Yeosu-si,Yeosu-si
4820000,6460000,Jeollanam-do,Jeollanam-do Suncheon-si,Suncheon-si
4830000,6460000,Jeollanam-do,Jeollanam-do Naju-si,Naju-si
4840000,6460000,Jeollanam-do,Jeollanam-do Gwangyang-si,Gwangyang-si
4850000,6460000,Jeollanam-do,Jeollanam-do Damyang-gun,Damyang-gun
4860000,6460000,Jeollanam-do,Jeollanam-do Gokseong-gun,Gokseong-gun
4870000,6460000,Jeollanam-do,Jeollanam-do Gurye-gun,Gurye-gun
4880000,6460000,Jeollanam-do,Jeollanam-do Goheung-gun,Goheung-gun
4890000,6460000,Jeollanam-do,Jeollanam-do Boseong-gun,Boseong-gun
4900000,6460000,Jeollanam-do,Jeollanam-do Hwasun-gun,Hwasun-gun
4910000,6460000,Jeollanam-do,Jeollanam-do Jangheung-gun,Jangheung-gun
4920000,6460000,Jeollanam-do,Jeollanam-do Gangjin-gun,Gangjin-gun
4930000,6460000,Jeollanam-do,Jeollanam-do Haenam-gun,Haenam-gun
4940000,6460000,Jeollanam-do,Jeollanam-do Yeongam-gun,Yeongam-gun
4950000,6460000,Jeollanam-do,Jeollanam-do Muan-gun,Muan-gun
4960000,6460000,Jeollanam-do,Jeollanam-do Hampyeong-gun,Hampyeong-gun
4970000,6460000,Jeollanam-do,Jeollanam-do Yeonggwang-gun,Yeonggwang-gun
4980000,6460000,Jeollanam-do,Jeollanam-do Jangseong-gun,Jangseong-gun
4990000,6460000,Jeollanam-do,Jeollanam-do Wando-gun,Wando-gun
5000000,6460000,Jeollanam-do,Jeollanam-do Jindo-gun,Jindo-gun
5010000,6460000,Jeollanam-do,Jeollanam-do Sinan-gun,Sinan-gun
5020000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Pohang-si,Pohang-si
5050000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Gyeongju-si,Gyeongju-si
5060000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Gimcheon-si,Gimcheon-si
5070000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Andong-si,Andong-si
5080000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Gumi-si,Gumi-si
5090000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Yeongju-si,Yeongju-si
5100000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Yeongcheon-si,Yeongcheon-si
5110000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Sangju-si,Sangju-si
5120000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Mungyeong-si,Mungyeong-si
5130000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Gyeongsan-si,Gyeongsan-si
5140000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Gunwi-gun,Gunwi-gun
5150000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Uiseong-gun,Uiseong-gun
5160000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Cheongsong-gun,Cheongsong-gun
5170000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Yeongyang-gun,Yeongyang-gun
5180000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Yeongdeok-gun,Yeongdeok-gun
5190000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Cheongdo-gun,Cheongdo-gun
5200000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Goryeong-gun,Goryeong-gun
5210000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Seongju-gun,Seongju-gun
5220000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Chilgok-gun,Chilgok-gun
5230000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Yecheon-gun,Yecheon-gun
5240000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Bonghwa-gun,Bonghwa-gun
5250000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Uljin-gun,Uljin-gun
5260000,6470000,Gyeongsangbuk-do,Gyeongsangbuk-do Ulleung-gun,Ulleung-gun
5310000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Jinju-si,Jinju-si
5330000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Tongyeong-si,Tongyeong-si
5340000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Sacheon-si,Sacheon-si
5350000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Gimhae-si,Gimhae-si
5360000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Miryang-si,Miryang-si
5370000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Geoje-si,Geoje-si
5380000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Yangsan-si,Yangsan-si
5390000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Uiryeong-gun,Uiryeong-gun
5400000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Haman-gun,Haman-gun
5410000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Changnyeong-gun,Changnyeong-gun
5420000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Goseong-gun,Goseong-gun
5430000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Namhae-gun,Namhae-gun
5440000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Hadong-gun,Hadong-gun
5450000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Sancheong-gun,Sancheong-gun
5460000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Hamyang-gun,Hamyang-gun
5470000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Geochang-gun,Geochang-gun
5480000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Hapcheon-gun,Hapcheon-gun
5530000,6410000,Gyeonggi-do,Gyeonggi-do Hwaseong-si,Hwaseong-si
5540000,6410000,Gyeonggi-do,Gyeonggi-do Gwangju-si,Gwangju-si
5570000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Jeungpyeong-gun,Jeungpyeong-gun
5580000,6440000,Chungcheongnam-do,Chungcheongnam-do Gyeryong-si,Gyeryong-si
5590000,6410000,Gyeonggi-do,Gyeonggi-do Yangju-si,Yangju-si
5600000,6410000,Gyeonggi-do,Gyeonggi-do Pocheon-si,Pocheon-si
5670000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Changwon-si,Changwon-si
5680000,6440000,Chungcheongnam-do,Chungcheongnam-do Dangjin-si,Dangjin-si
5700000,6410000,Gyeonggi-do,Gyeonggi-do Yeoju-si,Yeoju-si
5710000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Cheongju-si,Cheongju-si
